address,japanese,korean,compact_len,slot_len,overflow_bytes,freq
0x00EC31C2,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
0x00EC3342,アニメを表示しません,애니메이션을 표시하지 않습니다,28,20,8,6
0x00D951EE,の能力をためしたいの。,의 능력을 시험해 보고 싶어.,23,22,1,5
0x00D971B4,の能力をためしたいの。,의 능력을 시험해 보고 싶어.,23,22,1,5
0x00D97608,の能力をためしたいの。,의 능력을 시험해 보고 싶어.,23,22,1,5
0x00D97648,の能力をためしたいの。,의 능력을 시험해 보고 싶어.,23,22,1,5
0x00D996C8,の能力をためしたいの。,의 능력을 시험해 보고 싶어.,23,22,1,5
0x00A2C440,戦闘アニメのみ表示します,전투 애니메이션만 표시합니다,26,24,2,4
0x00A2C5AC,戦闘アニメのみ表示します,전투 애니메이션만 표시합니다,26,24,2,4
0x00EC3202,戦闘アニメのみ表示します,전투 애니메이션만 표시합니다,26,24,2,4
0x00EC3382,戦闘アニメのみ表示します,전투 애니메이션만 표시합니다,26,24,2,4
0x00A2C41C,戦闘アニメと占領アニメを表示します,전투 애니메이션과 점령 애니메이션을 표시합니다,42,34,8,4
0x00A2C588,戦闘アニメと占領アニメを表示します,전투 애니메이션과 점령 애니메이션을 표시합니다,42,34,8,4
0x00EC31DA,戦闘アニメと占領アニメを表示します,전투 애니메이션과 점령 애니메이션을 표시합니다,42,34,8,4
0x00EC335A,戦闘アニメと占領アニメを表示します,전투 애니메이션과 점령 애니메이션을 표시합니다,42,34,8,4
0x00A135C8,バカモノ！,바보 같으니!,11,10,1,3
0x00A136A5,バカモノ！,바보 같으니!,11,10,1,3
0x00A14DB0,バカモノ！,바보 같으니!,11,10,1,3
0x00A19A98,どうした？,무슨 일이야?,11,10,1,3
0x00A1C8E8,どうした？,무슨 일이야?,11,10,1,3
0x00A1DE48,どうした？,무슨 일이야?,11,10,1,3
0x00DC8155,お金が高いとか。,돈이 많이 든다든가.,17,16,1,3
0x00DC8319,お金が高いとか。,돈이 많이 든다든가.,17,16,1,3
0x00DC8521,お金が高いとか。,돈이 많이 든다든가.,17,16,1,3
0x00A31E6F,歩兵系以外の陸ユニットに,보병 계열 이외의 지상 유닛에게,26,24,2,3
0x00A32155,歩兵系以外の陸ユニットに,보병 계열 이외의 지상 유닛에게,26,24,2,3
0x00A32FA3,歩兵系以外の陸ユニットに,보병 계열 이외의 지상 유닛에게,26,24,2,3
0x00A334F9,対する攻撃力。,상대에 대한 공격력.,17,14,3,3
0x00A33571,対する攻撃力。,상대에 대한 공격력.,17,14,3,3
0x00DED794,対する攻撃力。,상대에 대한 공격력.,17,14,3,3
0x00E08D37,前の話は・・・,아까 그 이야기는...,17,14,3,3
0x00E0B007,前の話は・・・,아까 그 이야기는...,17,14,3,3
0x00E0D2B3,前の話は・・・,아까 그 이야기는...,17,14,3,3
0x00A01D0D,正面決戦が今、始まる！,정면 결전이 지금 시작된다!,23,22,1,2
0x00A01E83,正面決戦が今、始まる！,정면 결전이 지금 시작된다!,23,22,1,2
0x00A04368,いい判断ね。,좋은 판단이야.,13,12,1,2
0x00A0572C,きっと勝ってみせます！,반드시 이겨 보이겠습니다!,23,22,1,2
0x00A05DC3,心をしずめないと。,마음을 가라앉혀야지.,19,18,1,2
0x00A0E2F3,ひとつの手よ。,하나의 방법이야.,15,14,1,2
0x00A0EAAC,いい判断ね。,좋은 판단이야.,13,12,1,2
0x00A0F2D5,心をしずめないと。,마음을 가라앉혀야지.,19,18,1,2
0x00A131E2,ひとつの手よ。,하나의 방법이야.,15,14,1,2
0x00A1430F,貴様の助けなどいらぬわ。,네놈의 도움 따위는 필요 없다.,25,24,1,2
0x00A144AF,貴様の助けなどいらぬわ。,네놈의 도움 따위는 필요 없다.,25,24,1,2
0x00A18808,なんと！,이럴수가!,9,8,1,2
0x00A18BB9,必ずや勝ってみせます！,반드시 이겨 보이겠습니다!,23,22,1,2
0x00A1D01C,やるだけやってみるさ。,할 수 있는 데까지 해보겠어.,23,22,1,2
0x00A1D1F9,やるだけやってみるさ。,할 수 있는 데까지 해보겠어.,23,22,1,2
0x00A22ACB,次の戦場へ急ぐのだ！,다음 전장으로 서두른다!,21,20,1,2
0x00A22DF9,あたしの勝ちじゃん。,다음 전장으로 서두른다!,21,20,1,2
0x00A25ACC,なんと！,이럴수가!,9,8,1,2
0x00A29C90,移動できる。,이동할 수 있다.,13,12,1,2
0x00A2A42B,一撃が出やすくなり、,"일격이 나오기 쉬워지고,",21,20,1,2
0x00A2A487,一撃が出やすくなり、,"일격이 나오기 쉬워지고,",21,20,1,2
0x00A2A9A0,歩兵系の攻撃力が高く、,"보병 계열의 공격력이 높고,",23,22,1,2
0x00A2A9F7,直接攻撃が苦手。,직접 공격이 서툴다.,17,16,1,2
0x00A2AB49,直接攻撃が苦手。,직접 공격이 서툴다.,17,16,1,2
0x00A2B17D,燃料を半分にさせる。,연료를 절반으로 줄인다.,21,20,1,2
0x00A2B1D3,燃料を半分にさせる。,연료를 절반으로 줄인다.,21,20,1,2
0x00A2BEC4,歩兵系の攻撃力が高く、,"보병 계열의 공격력이 높고,",23,22,1,2
0x00A2BF44,戦闘ヘリの攻撃力が上がる。,전투 헬기의 공격력이 상승한다.,27,26,1,2
0x00A2BFBC,戦闘ヘリの攻撃力が上がる。,전투 헬기의 공격력이 상승한다.,27,26,1,2
0x00A2C8C4,セーブしますか？,저장하시겠습니까?,17,16,1,2
0x00A2D9F0,何もないよ。,아무것도 없어.,13,12,1,2
0x00A316D9,移動コストで移動できる。,이동 비용으로 이동할 수 있다.,25,24,1,2
0x00A31F3F,地上最強をほこる戦車。,지상 최강을 자랑하는 전차.,23,22,1,2
0x00A31FA1,主砲のタマが切れた時は、,"주포의 탄약이 떨어졌을 때는,",25,24,1,2
0x00A32B5D,移動力をほこる。,이동력을 자랑한다.,17,16,1,2
0x00A32F51,主砲のタマが切れた時は、,"주포의 탄약이 떨어졌을 때는,",25,24,1,2
0x00A33003,船系に対する攻撃力。,함선 계열에 대한 공격력.,21,20,1,2
0x00A338BD,で移動できる。,로 이동할 수 있다.,15,14,1,2
0x00D822D8,セーブしますか？,저장하시겠습니까?,17,16,1,2
0x00D9B605,だから、ここは,"그러니까, 여기는",15,14,1,2
0x00DA3358,だから、ここは,"그러니까, 여기는",15,14,1,2
0x00DCC2F8,でも　もうこれでさいご。,하지만 이제 이게 마지막이야.,25,24,1,2
0x00DCD64D,でも　もうこれでさいご。,하지만 이제 이게 마지막이야.,25,24,1,2
0x00DECCE5,移動コストで移動できる。,이동 비용으로 이동할 수 있다.,25,24,1,2
0x00DED561,地上最強をほこる戦車。,지상 최강을 자랑하는 전차.,23,22,1,2
0x00DEE19F,移動力をほこる。,이동력을 자랑한다.,17,16,1,2
0x00DEE6E7,船系に対する攻撃力。,함선 계열에 대한 공격력.,21,20,1,2
0x00DEEFE1,で移動できる。,로 이동할 수 있다.,15,14,1,2
0x00DF2102,首都占領か敵全滅で勝利よ！,수도 점령이나 적 전멸로 승리야!,27,26,1,2
0x00DF22DE,首都占領か敵全滅で勝ちよ！,수도 점령이나 적 전멸로 승리야!,27,26,1,2
0x00DF57FD,移動できる。,이동할 수 있다.,13,12,1,2
0x00DFB4F2,何もないよ。,아무것도 없어.,13,12,1,2
0x00E08DA3,たしかめてくれば？,확인해 보고 오지 그래?,19,18,1,2
0x00E08EAD,あたまがかたいのよね。,머리가 너무 딱딱하다니까.,23,22,1,2
0x00E0B073,たしかめてくれば？,확인해 보고 오지 그래?,19,18,1,2
0x00E0B179,あたまがかたいのよね。,머리가 너무 딱딱하다니까.,23,22,1,2
0x00A01CD5,橋の上で守りきれるか！？,다리 위에서 막아낼 수 있을까!?,26,24,2,2
0x00A01E4D,橋の上で守りきれるか！？,다리 위에서 막아낼 수 있을까!?,26,24,2,2
0x00A03D5D,１回の占領で耐久力を,한 번의 점령으로 내구력을,22,20,2,2
0x00A045E4,１回の占領で耐久力を,한 번의 점령으로 내구력을,22,20,2,2
0x00A0C460,７日あれば可能かと。,7일이면 가능할 듯합니다.,22,20,2,2
0x00A12230,７日あれば可能かと。,7일이면 가능할 듯합니다.,22,20,2,2
0x00A1FFFF,この面ではとにかく,이번 전장에서는 어쨌든,20,18,2,2
0x00A20157,この面ではとにかく,이번 전장에서는 어쨌든,20,18,2,2
0x00A2992C,マップをぬける,지도을 빠져나가는,16,14,2,2
0x00A2AB0C,間接攻撃の射程が,간접 공격의 사거리가,18,16,2,2
0x00A2AB5C,間接攻撃の射程が,간접 공격의 사거리가,18,16,2,2
0x00A3244C,できる,할 수 있어,8,6,2,2
0x00A33A0C,海、岩礁を移動できる。,"바다, 암초를 이동할 수 있다.",24,22,2,2
0x00B82D58,マップをぬける,지도을 빠져나가는,16,14,2,2
0x00D70CE9,ァケァケァケァ織,ァケァケァケァ직조,18,16,2,2
0x00D70DD2,ァケァケァケァ織,ァケァケァケァ직조,18,16,2,2
0x00D9C881,できる,할 수 있다,8,6,2,2
0x00DCC63A,海で　勝てる人は　なかなかいない,바다에서 이길 수 있는 사람은 좀처럼 없어,34,32,2,2
0x00DCD9DA,海で　勝てる人は　なかなかいない,바다에서 이길 수 있는 사람은 좀처럼 없어,34,32,2,2
0x00DECB96,副砲での、歩兵系に対する,부포로 보병 계열을 상대할 때의,26,24,2,2
0x00DECC4A,副砲での、ヘリ系に対する,부포로 헬기 계열을 상대할 때의,26,24,2,2
0x00DECE6E,副砲での、歩兵系に対する,부포로 보병 계열을 상대할 때의,26,24,2,2
0x00DECF1E,副砲での、ヘリ系に対する,부포로 헬기 계열을 상대할 때의,26,24,2,2
0x00DEDA92,できる,할 수 있다,8,6,2,2
0x00DEDAC8,できる,할 수 있어,8,6,2,2
0x00DEF0DE,海、岩礁を移動できる。,"바다, 암초를 이동할 수 있다.",24,22,2,2
0x00A033BF,それが、,"그게 말이야,",11,8,3,2
0x00A04B2D,それが、,"그게 말이야,",11,8,3,2
0x00A0B1A4,そこそこ戦えるから、,"그럭저럭 싸울 수 있으니까,",23,20,3,2
0x00A0C669,そこそこ戦えるから、,"그럭저럭 싸울 수 있으니까,",23,20,3,2
0x00A10C38,どうなさいます？,어떻게 하시겠습니까?,19,16,3,2
0x00A15828,どうなさいます？,어떻게 하시겠습니까?,19,16,3,2
0x00A200EC,次こそムダにはせんぞ！,다음번엔 헛되이 하지 않겠다!,25,22,3,2
0x00A202BC,次こそムダにはせんぞ！,다음번엔 헛되이 하지 않겠다!,25,22,3,2
0x00A29AD4,守りにはむかない。,방어에는 적합하지 않다.,21,18,3,2
0x00A29D88,陸と陸をむすぶ橋。,육지와 육지를 잇는 다리.,21,18,3,2
0x00A2C9FC,終了しますか？,종료하시겠습니까?,17,14,3,2
0x00A315D9,ごかくに戦える。,대등하게 싸울 수 있다.,19,16,3,2
0x00A32901,ごかくに戦える。,대등하게 싸울 수 있다.,19,16,3,2
0x00A32A5C,対空ミサイルでの、ヘリ系に,"대공 미사일을 사용한, 헬기 계열에",29,26,3,2
0x00A32BF0,対空ミサイルでの、ヘリ系に,"대공 미사일을 사용한, 헬기 계열에",29,26,3,2
0x00A34719,倒せば勝利よ！,쓰러뜨리면 승리야!,17,14,3,2
0x00A34917,倒して勝利よ！,쓰러뜨리면 승리야!,17,14,3,2
0x00D82410,終了しますか？,종료하시겠습니까?,17,14,3,2
0x00DF55ED,守りにはむかない。,방어에는 적합하지 않다.,21,18,3,2
0x00DF5937,陸と陸をむすぶ橋。,육지와 육지를 잇는 다리.,21,18,3,2
0x00A34E27,戦闘アニメを表示します,전투 애니메이션을 표시합니다,26,22,4,2
0x00DF2BEB,戦闘アニメを表示します,전투 애니메이션을 표시합니다,26,22,4,2
0x00A05DE6,あいつを倒すのよ。,저 녀석을 쓰러뜨리는 거야.,23,18,5,2
0x00A0F2F1,あいつを倒すのよ。,저 녀석을 쓰러뜨리는 거야.,23,18,5,2
0x00A29DC0,陸から海に続く地形。,육지에서 바다로 이어지는 지형.,27,20,7,2
0x00DF597B,陸から海に続く地形。,육지에서 바다로 이어지는 지형.,27,20,7,2
0x00A2C358,拠点から入る収入を設定できます,거점에서 들어오는 수입을 설정할 수 있습니다,38,30,8,2
0x00EC310A,拠点から入る収入を設定できます,거점에서 들어오는 수입을 설정할 수 있습니다,38,30,8,2
0x00979755,沓掘靴沓掘靴沓掘,구두굴구두구두굴구두구두굴,26,16,10,2
0x009EA89D,沓掘靴沓掘靴沓掘,구두굴구두구두굴구두구두굴,26,16,10,2
0x00D7CDC8,虎虎虎虎虎虎鼓原,호랑이호랑이호랑이호랑이호랑이호랑이북벌판,42,16,26,2
0x00D7CDEE,虎虎虎虎虎虎鼓原,호랑이호랑이호랑이호랑이호랑이호랑이북벌판,42,16,26,2
0x00A01EFC,陸上部隊一切なし。,육상 부대는 전혀 없다.,19,18,1,1
0x00A02005,攻略するアスカの作戦は？,공략하려는 아스카의 작전은?,25,24,1,1
0x00A02063,敵の新兵器が待ちうける。,적의 신병기가 기다리고 있다.,25,24,1,1
0x00A02245,この森をどうこえる？,이 숲을 어떻게 넘어가지?,21,20,1,1
0x00A02401,新型戦車の設計図をうばえ！,신형 전차의 설계도를 빼앗아라!,27,26,1,1
0x00A025A9,損害がふえる一方です！,피해가 계속 늘고 있습니다!,23,22,1,1
0x00A026AE,これより追撃に入ります！,지금부터 추격에 들어갑니다!,25,24,1,1
0x00A027C4,なにを言ってるの！,무슨 소리를 하는 거야!,19,18,1,1
0x00A028EC,右上にいる黒いユニットよ。,오른쪽 위에 있는 검은 유닛이야.,27,26,1,1
0x00A02A7B,を使うの。,을 쓰는 거야.,11,10,1,1
0x00A02B65,自軍の全行動が終わり、,"아군의 모든 행동이 끝나면,",23,22,1,1
0x00A03D09,拠点の耐久力よ。,거점의 내구력이야.,17,16,1,1
0x00A03DF5,耐久力が元に戻ってしまうから、,"내구력이 원래대로 돌아가 버리니까,",31,30,1,1
0x00A0426C,次こそ、ぼくの本当の,"다음번에야말로, 내 진짜",21,20,1,1
0x00A04C1E,説明に戻るわね。,설명으로 돌아갈게.,17,16,1,1
0x00A04D92,生産できる拠点があれば、,"생산할 수 있는 거점이 있으면,",25,24,1,1
0x00A04E3D,損な事は無いから、,"손해 볼 일은 없으니까,",19,18,1,1
0x00A05211,山にも登れるわ。,산에도 오를 수 있어.,17,16,1,1
0x00A052E6,軽戦車にぶつけても十分戦えるはずよ！,경전차와 맞붙어도 충분히 싸울 수 있을 거야!,37,36,1,1
0x00A05363,どこかで、,"어딘가에서,",11,10,1,1
0x00A0552F,いい国だ。,좋은 나라야.,11,10,1,1
0x00A05C93,ごちゃごちゃ言うヤツは、,"이러쿵저러쿵 떠드는 녀석은,",25,24,1,1
0x00A05E2B,こなしてると思うけど、,"해내고 있다고 생각하지만,",23,22,1,1
0x00A06171,戦いは先手必勝よ。,싸움은 선수필승이야.,19,18,1,1
0x00A064A1,軽戦車と同レベル以上に戦えるほか、,"경전차와 동레벨 이상으로 싸우는 것 외에,",35,34,1,1
0x00A073A4,まずい状況ね。,위험한 상황이네.,15,14,1,1
0x00A07901,いけます！,갈 수 있어요!,11,10,1,1
0x00A07982,数は多いがビビらずいくぞ！,숫자는 많지만 겁먹지 말고 가자!,27,26,1,1
0x00A07D8E,動けなくなるだけだが、,"움직일 수 없게 될 뿐이지만,",23,22,1,1
0x00A08B55,レッドスターは落とさせん！,레드스타는 떨어뜨리지 않겠다!,27,26,1,1
0x00A090DE,そう考えた方が分かりやすいわ。,그렇게 생각하는 편이 이해하기 쉬워.,31,30,1,1
0x00A098E5,浅瀬と港だけなのよ。,얕은 여울과 항구뿐이야.,21,20,1,1
0x00A0A264,敵に工場がある以上、,"적에게 공장이 있는 이상,",21,20,1,1
0x00A0A3D4,期待にそえる様がんばります！,기대에 부응하도록 힘내겠습니다!,29,28,1,1
0x00A0A8F4,あとは、,"나머지는,",9,8,1,1
0x00A0AD5F,中立都市を占領するの。,중립 도시를 점령하는 거야.,23,22,1,1
0x00A0B6AA,まだ今は、,"아직 지금은,",11,10,1,1
0x00A0BE89,マックスが味方でよかった！,맥스가 우리 편이라서 다행이야!,27,26,1,1
0x00A0BEAF,私もそう思うわ。,나도 그렇게 생각해.,17,16,1,1
0x00A0C750,隣に移動されない限り、,"옆으로 이동해 오지 않는 한,",23,22,1,1
0x00A0C8DF,敵全滅か研究所の占領で勝利よ！,적 전멸이나 연구소 점령으로 승리야!,31,30,1,1
0x00A0CDDC,新兵器の設計図は消去できます！,신병기 설계도는 삭제할 수 있습니다!,31,30,1,1
0x00A0D180,ほしいところよね。,했으면 하는 부분이야.,19,18,1,1
0x00A0D237,歩兵を山に登らせたり、,"보병을 산에 오르게 하거나,",23,22,1,1
0x00A0D24E,偵察車を前線に出して、,"정찰차를 전선에 내보내서,",23,22,1,1
0x00A0E243,正面から力押しで戦うならマックスが、,"정면에서 힘으로 밀어붙여 싸운다면 맥스가,",37,36,1,1
0x00A0EE59,下の都市で回復したりするのも大事ね。,아래 도시에서 회복하거나 하는 것도 중요해.,37,36,1,1
0x00A0F920,ケガするだけだぜ。,다치기만 할 뿐이라고.,19,18,1,1
0x00A10026,その後ろの戦車隊は、,"그 뒤에 있는 전차 부대는,",21,20,1,1
0x00A10214,私の話を聞いて。,제 말을 들어주세요.,17,16,1,1
0x00A108D0,だまらせていきます！,입을 다물게 하겠습니다!,21,20,1,1
0x00A109E2,まず取りたいのは・・・,먼저 차지하고 싶은 곳은...,23,22,1,1
0x00A11684,部隊を集結させているようです。,부대를 집결시키고 있는 것 같습니다.,31,30,1,1
0x00A11A9E,後はよろしく！,나머지는 부탁해!,15,14,1,1
0x00A11E4E,われながらすばらしい作戦です。,우리 작전이지만 훌륭한 작전입니다.,31,30,1,1
0x00A1225D,やつらに設計図をわたすな！,놈들에게 설계도를 넘기지 마라!,27,26,1,1
0x00A1243E,研究所を爆破だ！,연구소를 폭파해라!,17,16,1,1
0x00A124AE,ここは見送りましょう。,여기는 그냥 보내도록 하죠.,23,22,1,1
0x00A12C20,攻撃だけじゃないの。,공격만이 전부는 아니야.,21,20,1,1
0x00A12C8E,兵器を生産していたのね。,병기를 생산하고 있었던 거야.,25,24,1,1
0x00A1369C,へるわ、,"줄어들어,",9,8,1,1
0x00A13C75,見えてきましたよ。,보이기 시작했습니다.,19,18,1,1
0x00A13FA3,気にくわん話じゃな。,마음에 안 드는 이야기로군.,23,22,1,1
0x00A140D2,こっちには広場があってな。,이쪽에는 광장이 있어서 말이야.,27,26,1,1
0x00A141CA,きさまらを決して許さんぞ！,네놈들을 결코 용서하지 않겠다!,27,26,1,1
0x00A14400,いたい目にあうんで、,"따끔한 맛을 보게 될 테니,",21,20,1,1
0x00A1459B,さっさと目をさまさんか！,어서 정신 차리지 못하겠느냐!,25,24,1,1
0x00A1479C,そのとおりですよ、,"바로 그 말씀이십니다,",19,18,1,1
0x00A14806,お話があって来ました。,드릴 말씀이 있어 왔습니다.,23,22,1,1
0x00A14980,町を通りましたが・・・,마을을 지나왔습니다만...,23,22,1,1
0x00A14A78,国だの領地だのは、,"나라니 영토니 하는 건,",19,18,1,1
0x00A14B60,町を滅ぼした、,"마을을 멸망시킨,",15,14,1,1
0x00A14CE2,歩兵かバズーカ兵が着けば、,"보병이나 바주카병이 도착하면,",27,26,1,1
0x00A14F8B,そこへ直れ。,거기 똑바로 서.,13,12,1,1
0x00A15862,と言っておりますが。,라고 말하고 있습니다만.,21,20,1,1
0x00A15C5A,お２人のためにも、,"두 사람을 위해서라도,",19,18,1,1
0x00A15F8D,困った人だぜ。,곤란한 사람이군.,15,14,1,1
0x00A1632C,送っているらしい。,보내고 있는 모양이다.,19,18,1,1
0x00A16A3D,今後の戦略を練る。,앞으로의 전략을 짠다.,19,18,1,1
0x00A17212,わが軍の勝ちが見えてくる！,아군의 승리가 보이기 시작한다!,27,26,1,1
0x00A17A1D,どうした、,"무슨 일이야,",11,10,1,1
0x00A17AAC,とはいえ、,"그렇다 해도,",11,10,1,1
0x00A18658,上官を何だとおもっとる！,상관을 뭐라고 생각하는 거야!,25,24,1,1
0x00A1887E,いつでも出撃できます！,언제든 출격할 수 있습니다!,23,22,1,1
0x00A18A34,森での戦いね・・・,숲에서의 싸움이네...,19,18,1,1
0x00A18A48,ウデがなるわ！,솜씨가 근질거려!,15,14,1,1
0x00A190AF,この戦いはまだ続く。,이 싸움은 아직 계속된다.,21,20,1,1
0x00A19251,もう安心ね！,이제 안심이네!,13,12,1,1
0x00A194EC,よそからの友軍には、,"외부에서 온 우군에게는,",21,20,1,1
0x00A19774,反攻に出るのね？,반격에 나서는 거지?,17,16,1,1
0x00A199A0,とは思うけど。,라고 생각하지만.,15,14,1,1
0x00A19D9C,そうです。,그렇습니다.,11,10,1,1
0x00A19DF9,苦しむのを、,"괴로워하는 걸,",13,12,1,1
0x00A19FA7,要塞の処理が先だ。,요새부터 처리해야 해.,19,18,1,1
0x00A1A0D9,誰にも負けないさ。,누구에게도 지지 않아.,19,18,1,1
0x00A1A1E4,地上への攻撃力はガタ落ちです。,지상으로의 공격력은 뚝 떨어집니다.,31,30,1,1
0x00A1A20F,ムダぐちはいい。,쓸데없는 말은 됐다.,17,16,1,1
0x00A1A2C8,集まっているようです。,집결하고 있는 것 같습니다.,23,22,1,1
0x00A1A32F,完全に敵を包囲しています。,완전히 적을 포위하고 있습니다.,27,26,1,1
0x00A1A3AA,何がおこるかわからぬ。,무슨 일이 일어날지 모른다.,23,22,1,1
0x00A1A3DB,兵たちに伝えよ。,병사들에게 전하라.,17,16,1,1
0x00A1A84C,無事のようです。,무사한 것 같습니다.,17,16,1,1
0x00A1A90F,そうはいくものか。,그렇게는 안 될 것이다.,19,18,1,1
0x00A1AD6C,力を落とされるな、,"기운을 잃지 마십시오,",19,18,1,1
0x00A1AFFC,修理にかかる日数です。,수리에 걸리는 일수입니다.,23,22,1,1
0x00A1B43C,兵を部隊にもどす・・・,병력을 부대로 되돌린다...,23,22,1,1
0x00A1B7AC,退くのですか？,물러나는 겁니까?,15,14,1,1
0x00A1BA93,く0x00A1BC23,よろしいのですか？,17,16,1,1
0x00A1C1F6,彼女はどうした？,그녀는 어떻게 됐지?,17,16,1,1
0x00A1C344,今いる部隊だけでも戦闘準備をさせろ。,지금 있는 부대만이라도 전투 준비를 시켜라.,37,36,1,1
0x00A1C5D4,失敗は誰にでもある。,실패는 누구에게나 있어.,21,20,1,1
0x00A1CB78,海が圧倒的に不利だけど・・・,바다가 압도적으로 불리하지만...,29,28,1,1
0x00A1D31B,危ない気がする。,위험한 느낌이 든다.,17,16,1,1
0x00A1D3D8,それがどうした。,그게 어쨌다는 거냐.,17,16,1,1
0x00A1D57C,どうする？,어떻게 할래?,11,10,1,1
0x00A1D641,私が一番得意だから。,내가 가장 자신 있으니까.,21,20,1,1
0x00A1D884,この悪条件の中、,"이런 악조건 속에서,",17,16,1,1
0x00A1DB19,この様よ。,이런 식이야.,11,10,1,1
0x00A1DC16,失った兵たちにすまないと思うなら、,"잃은 병사들에게 미안하다고 생각한다면,",35,34,1,1
0x00A1DDA8,そこで開発していたって事？,거기서 개발하고 있었다는 거야?,27,26,1,1
0x00A1E063,うまく戦えそうだ。,잘 싸울 수 있을 것 같아.,19,18,1,1
0x00A1E71E,他の３人のみならず、,"다른 세 사람뿐만 아니라,",21,20,1,1
0x00A1EB57,敵の好きにはさせんぞ！,적 마음대로는 못 하게 한다!,23,22,1,1
0x00A1F11B,礼を言わせてもらう。,고맙다고 말하게 해다오.,21,20,1,1
0x00A1F4B5,どうするかがカギね。,어떻게 할지가 관건이네.,21,20,1,1
0x00A1F58C,大小のキャノンね。,크고 작은 캐논이군요.,19,18,1,1
0x00A1F688,さすがね、,"역시 대단해,",11,10,1,1
0x00A1F9FD,そして先生は空戦・・・,그리고 선생님은 공중전...,23,22,1,1
0x00A1FBCE,好みではないが、,"내 취향은 아니지만,",17,16,1,1
0x00A1FDD9,敵より先に着けば、,"적보다 먼저 도착하면,",19,18,1,1
0x00A1FE79,力負けだと？,힘에 밀렸다고?,13,12,1,1
0x00A1FF99,勝ちどきをあげよ！,승전의 함성을 올려라!,19,18,1,1
0x00A2006E,橋を塞いで、,"다리를 막아서,",13,12,1,1
0x00A203C7,ころんだだけでしょ。,그냥 넘어진 것뿐이잖아.,21,20,1,1
0x00A20580,わが国の領土に、,"우리나라의 영토에,",17,16,1,1
0x00A20B09,キクチヨ様に届けておきます！,키쿠치요 님께 전해 드리겠습니다!,29,28,1,1
0x00A210DD,戦闘準備に入るのです！,전투 준비에 들어가십시오!,23,22,1,1
0x00A211BC,年よりも、,"나이보다도,",11,10,1,1
0x00A212CC,滅ぼすだけです。,멸망시킬 뿐입니다.,17,16,1,1
0x00A21309,やらざるをえんか。,어쩔 수 없이 해야겠군.,19,18,1,1
0x00A215B6,先生の勝ちよ！,선생님의 승리야!,15,14,1,1
0x00A216A2,今日は日が悪い。,오늘은 운이 나쁘군.,17,16,1,1
0x00A2177F,そんな話になったのやら。,어쩌다 그런 이야기가 된 거지?,25,24,1,1
0x00A21B7A,どう使う？,어떻게 쓸래?,11,10,1,1
