address,japanese,korean,char_count,frequency,status,notes
0x0001693C,吊蜩葬,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x00016945,当蜥交頏,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000169AE,緒苑加,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000169C4,氈闡鏐,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00016A07,願午竚,서원가,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00016A28,蜥涛末,전천류,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00016A5A,健東悄,원오저,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00016B10,瞠關玲,석도말,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00016B1B,蝿翠驫,건동초,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00016B47,阡粕悔択,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000175C6,醵鴃髓,당관령,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00017616,蝠顏効,승취표,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00017B7C,闌璢俣,갹격수,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00017C4D,禾東釣,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00017C60,那舞苫,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00017D74,健涛涛,화동조,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00018120,相嬉縛,나무점,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00018174,払血奉,건도도,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001822C,駐癖補嫌,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00018275,璢齎狒,상희박,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00018790,椦麦薬到,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000187D0,売醯琺,불혈봉,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000189CF,恫著栫,유제비,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000189FE,鈷罎摩,매혜법,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00018F4A,燉躙紹,통저천,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00018F6D,伏弌丐,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001940A,ぇ凍瓊,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00019534,獻獗睾,복일개,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001A009,笋悍圀,얼동경,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001A51C,髟蕗貞籥,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001BA08,殺殺濃,헌궐고,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001BD89,脾蹴歟,순한국,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001C186,博詩嚊,살살농,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001C6BC,囹刻渚揶,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001D9F0,刧丁藷,비축여,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001E332,霜ぞｐ,박시비,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001E530,瞰肓顱,겁정저,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001EA89,怨誌認,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001EBEA,冐聶蒿,미상,3,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001ED1E,耄せ驕,원지인,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001EF22,庶麹瑞,모섭호,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001F5AC,数撹答嚀,미상,4,1,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0001F89B,蒹聢賎,모세교,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001F8B1,憑齲ぜ,서국서,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0001FAD6,碎蠍せ,겸정천,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00020738,宋閤諢,빙우제,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00020CC3,螺嚼諭,쇄갈세,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0002123B,似貢せ,송합혼,3,1,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00022D21,鎗劔鎗,미상,3,2,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00024650,鎗劔鎗,미상,3,2,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00029058,劔劔劔劔囮劔囮劔,미상,8,9,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002AFD8,劔劔劔劔囮劔囮劔,미상,8,9,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002BFBC,肢畏肢逸棘,미상,5,2,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002C4B8,闊闊闊闊髯髷髯髷髯鴆髯,미상,11,2,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002C7D8,手闊手闊樣髯樣髯樣髯,미상,10,2,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002CF58,劔劔劔劔囮劔囮劔,미상,8,9,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0002EED8,劔劔劔劔囮劔囮劔,미상,8,9,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00032613,蘓髷蘓,창검창,3,2,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003460A,歴歴歴歴,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0003461D,歴歴歴条歴条,기갑,6,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0003462E,歴歴歴歴歴歴,전차,6,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0003B79E,鱧肄鳫,창검창,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003BDEF,釿璢聽鈿,미상,4,8,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0003BF99,粢蒟鉞,소마소,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003C008,鱧裴聶,려이안,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003C436,鞦銕鳫,자구월,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003C44B,韈跏鞣,려배섭,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003CDBE,鱇礦齏,추철안,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003CEB4,礦鱸鱧,말가유,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003D44F,矍褊賣,미상,3,8,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0003D607,聽珎琿,미상,3,8,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0003D701,鞣肄褊,보병대,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0003DA23,萵褄赧,기갑대,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0003DA53,韆鉅鈬跿,미상,4,8,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0003E227,韵靹赱,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0003E851,矮貽醇,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0003ED10,粮蠱悁,운나주,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003F916,橿昭謄,왜이순,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003F940,投轟劑楴,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0003FAF9,袤肓鴿,양고연,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003FBD5,賍矮瑙,강소등,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003FE68,冐籤碚,무황합,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0003FFDA,鉗裴簽,장왜노,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000401BE,蹂裲鰤,모첨배,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004035A,鈞礦赧粹,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000405C1,褐巨風擅泱暑憲,미상,7,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000405F3,註轟巨道,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00040635,棡棡棔椣,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000408EC,鮖囃求◇,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00040C93,送メ＆,겸배첨,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00040D18,負麿勳,유량방,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00040D74,魑盾＝＝,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00040FE8,屏療蠑,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x00041040,投李擒,부마훈,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004128B,鰄肬胙,전차대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00041B62,肆粮鴿,포병대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x000424FC,贇鴟鳬,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x00043852,剌鵠擇,모첨배,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000438C8,剽硴洳,겸배첨,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00043A4D,檮到末,랄곡택,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00043B31,磅靼蓙,표화여,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00043C33,葢碎跂,도도말,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00043C80,礦粫肆,방달좌,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00043D0D,醤鯑猜,개쇄기,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000441B5,裙跫聹,광이사,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00046172,ａ＝＝＝＝＝＝硫,미상,8,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004628E,蓴釵蟠,장희시,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004629F,贓逋閑,군공녕,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00046349,泓葬国泊葬窓株勍,미상,8,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00046480,酲篏封х,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000472BB,粲鞣鞆,순채반,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004792A,此磑肆,장포한,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x000480A1,砒玻粨,정찰대,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x000485D4,袱冐贍,공병대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00049D85,璞鳬萵,저격대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004AFAF,袮碌粨,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0004B1F0,竟玻蓼,야전포,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004C256,籖狠痔玻,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004D10E,裃裨矼,박격포,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004D6AB,聳葢糯,방공포,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004DC32,銖踟醫,수송대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004E20E,李尠畠,의무대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004E4B7,荵潔悋,보급대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004E89F,遵÷ю,이선전,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004E9A1,棊鋳等,인결린,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004EA1C,專傑拒圻,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004EB0A,搏渚傷,준÷ю,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004EBA7,搗宴＞是,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004EC00,汳諮律,기주등,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004EC13,摶博飼圀部劵,포병,6,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004ECBF,吹÷″濤,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004ECE4,÷÷鎌,박저상,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004ED4F,着÷′,변자율,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004EEC8,亦数圍,÷÷겸,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004EF5F,嚏＝°浚,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004EF9C,鞜琅萬,착÷′,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0004F011,郛梹張,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x0004F164,槍ｅ是,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x0004F196,項÷％,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0004F56F,搆÷÷ｉ豫,미상,5,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004F5F5,囁拷健燈博給穀妛,미상,8,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004F76C,恆о÷殴,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004F798,譜÷央,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0004FA58,絡鵠涎,지휘부,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004FA9C,恂伯挙岼,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004FACD,嚮÷÷蒔,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004FB1E,摶酎裡,방어선,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0004FB3F,刮÷÷ヰ,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004FCF9,園÷÷些,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0004FF27,÷♀坎,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x00050099,嚊÷亜,기동대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x0005013E,項≠埓,대대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00050189,桾署圻,돌격대,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: repeated source text
0x00050216,棡剿痩焔除,미상,5,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005029F,囁褐未,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x000503CB,泅柾走圖,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00050500,搗視騒,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x00050583,剌助屓,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x000505BB,盡逗＝,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: repeated source text
0x0005078D,撥吏剿擱,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005090E,梭＝忽洶,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00050964,沱悍擇,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x00050A4A,搖÷÷央,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00050AF9,剩暑鎗,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x00050CFA,搦延ｎ立,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00050DEF,膜燕慍,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x000552EE,聹肓矗蔕,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00055949,胥銜狃赭,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00055F75,矣瑕鞜,경전차,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00056ADE,粐蓙鉗鳬鳬鳧韈鉗粐珎,미상,10,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005951E,聶裃粨,중기갑,3,8,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005B3B1,將著劒,미상,3,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: existing address translation
0x0005B820,旧名鞴,섭하백,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005BBEF,剄湯蜜,장저검,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005C803,翅嚆慴,구명비,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005C8C8,椢剪乘,경탕밀,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005CAD0,粡齏鱆,시효섭,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005CCE8,砒籤琲,국전승,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005CD04,酣泱悛,동제장,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005CD61,粢裘顆,비첨배,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005CE7A,粐裔硅,감앙전,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005D88A,肆蒿襃,자구과,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005DC63,裙粢粃籬,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005E580,袵跏慣,호예규,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005E8BD,悧悒屬,사호포,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005E907,ｏ俣嶋悴睡棧蕩,미상,7,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005EB0B,聰砠袰,임가관,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0005EB16,聘蒿璢褓,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0005EEC0,凋鱒＜楓,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x000606F8,葫打貔,이읍속,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000613F9,顆萬瞑,총저모,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00061E4E,佳逐箴,호타비,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00061F43,粭珞葩珞蒟,미상,5,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x00062AB1,盪攸聆,과만명,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0006388F,袒跼鱆,가축잠,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00063C26,摎撼劒,탕유령,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00069E47,鞣珞鈿,단국장,3,6,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0006AA73,矼跏跏聳,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0006B697,筰囹垤,교감검,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0006B702,罨囹垓,유락전,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0006B88C,蓆耡胛,작령질,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00070253,聶裘蒿,엄령해,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00070D8A,鰡珀碣,석서갑,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000713D2,葯籬銜,섭구호,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00074469,韋趙蓖,유백갈,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x00074882,韜瞼鴒,약리함,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000766A3,鵄肄蠢,위조비,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x000767AB,鴦籐璢,도검령,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007685C,鴉蕣貘,치이준,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007D6F5,肓鞣粮,앙등유,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007D83D,矣珞頷,아순맥,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007D959,璢蒟頌,황유량,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007E0E7,裝裴鈞,의락함,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007E6B0,鈑跌鞨,유구송,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007EAEB,粡鈬蒡,장배균,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007EE76,瑯鉗頌,판질갈,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007EFF5,鞜琅鉗聨,미상,4,3,Needs Translation,audit: placeholder/unknown; previous=reviewed: unreadable source fallback
0x0007F179,肄裹鴦,동탁방,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007F296,鞣矼鈑,낭겸송,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007F88F,鈔珞葢,이과앙,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007FAF7,鞨瑯鈬,유강판,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007FB01,璢聽鉐,초락개,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
0x0007FCB4,粫趙琥,갈랑탁,3,3,Translated,audit: meaningful Korean translation; previous=reviewed: existing address translation
